Differenztemperaturlogger wurde am 09.12.2022 um 16:39:26 gestartet.;
Zeitstempel;Sensor 4 - Sensor 2 [°C]
09.12.2022 22:47:26;3,233
09.12.2022 22:49:26;3,233
09.12.2022 22:51:26;3,267
09.12.2022 22:53:26;3,233
09.12.2022 22:55:26;3,233
09.12.2022 22:57:26;3,233
09.12.2022 22:59:26;3,233
09.12.2022 23:01:26;3,301
09.12.2022 23:03:26;3,267
09.12.2022 23:05:26;3,267
09.12.2022 23:07:26;3,267
09.12.2022 23:09:26;3,267
09.12.2022 23:11:26;3,199
09.12.2022 23:13:26;3,233
09.12.2022 23:15:26;3,267
09.12.2022 23:17:26;3,233
09.12.2022 23:19:26;3,267
09.12.2022 23:21:26;3,267
09.12.2022 23:23:26;3,233
09.12.2022 23:25:26;3,267
09.12.2022 23:27:26;3,233
09.12.2022 23:29:26;3,233
09.12.2022 23:31:26;3,267
09.12.2022 23:33:26;3,267
09.12.2022 23:35:26;3,267
09.12.2022 23:37:26;3,199
09.12.2022 23:39:26;3,233
09.12.2022 23:41:26;3,233
09.12.2022 23:43:26;3,233
09.12.2022 23:45:26;3,233
09.12.2022 23:47:26;3,233
09.12.2022 23:49:26;3,233
09.12.2022 23:51:26;3,267
09.12.2022 23:53:26;3,233
09.12.2022 23:55:26;3,233
09.12.2022 23:57:26;3,233
09.12.2022 23:59:26;3,233
10.12.2022 00:01:26;3,233
10.12.2022 00:03:26;3,199
10.12.2022 00:05:26;3,233
10.12.2022 00:07:26;3,267
10.12.2022 00:09:26;3,267
10.12.2022 00:11:26;3,233
10.12.2022 00:13:26;3,199
10.12.2022 00:15:26;3,233
10.12.2022 00:17:26;3,267
10.12.2022 00:19:26;3,267
10.12.2022 00:21:26;3,233
10.12.2022 00:23:26;3,233
10.12.2022 00:25:26;3,233
10.12.2022 00:27:26;3,266
10.12.2022 00:29:26;3,233
10.12.2022 00:31:26;3,199
10.12.2022 00:33:26;3,266
10.12.2022 00:35:26;3,199
10.12.2022 00:37:26;3,233
10.12.2022 00:39:26;3,199
10.12.2022 00:41:26;3,199
10.12.2022 00:43:26;3,199
10.12.2022 00:45:26;3,233
10.12.2022 00:47:26;3,233
10.12.2022 00:49:26;3,233
10.12.2022 00:51:26;3,232
10.12.2022 00:53:26;3,199
10.12.2022 00:55:26;3,199
10.12.2022 00:57:26;3,165
10.12.2022 00:59:26;3,166
10.12.2022 01:01:26;3,199
10.12.2022 01:03:26;3,199
10.12.2022 01:05:26;3,199
10.12.2022 01:07:26;3,232
10.12.2022 01:09:26;3,199
10.12.2022 01:11:26;3,233
10.12.2022 01:13:26;3,166
10.12.2022 01:15:26;3,166
10.12.2022 01:17:26;3,165
10.12.2022 01:19:26;3,166
10.12.2022 01:21:26;3,233
10.12.2022 01:23:26;3,199
10.12.2022 01:25:26;3,166
10.12.2022 01:27:26;3,199
10.12.2022 01:29:26;3,166
10.12.2022 01:31:26;3,199
10.12.2022 01:33:26;3,232
10.12.2022 01:35:26;3,199
10.12.2022 01:37:26;3,132
10.12.2022 01:39:26;3,166
10.12.2022 01:41:26;3,199
10.12.2022 01:43:26;3,199
10.12.2022 01:45:26;3,166
10.12.2022 01:47:26;3,199
10.12.2022 01:49:26;3,199
10.12.2022 01:51:26;3,199
10.12.2022 01:53:26;3,166
10.12.2022 01:55:26;3,166
10.12.2022 01:57:26;3,166
10.12.2022 01:59:26;3,166
10.12.2022 02:01:26;3,166
10.12.2022 02:03:26;3,166
