14:55:53;18,34;18,593;-827,757;-827,757
14:56:14;18,424;18,653;-827,757;-827,757
14:56:34;18,577;31,102;-827,757;-827,757
14:56:54;18,374;24,425;-827,757;-827,757
14:57:14;18,458;21,344;-827,757;-827,757
14:57:34;18,517;20,015;-827,757;-827,757
14:57:54;18,484;19,389;-827,757;-827,757
14:58:14;18,517;19,152;-827,757;-827,757
14:58:34;18,391;18,949;-827,757;-827,757
14:58:54;18,374;18,83;-827,757;-827,757
14:59:14;18,306;18,771;-827,757;-827,757
14:59:34;18,424;18,712;-827,757;-827,757
14:59:54;18,365;18,737;-827,757;-827,757
15:00:14;18,34;18,712;-827,757;-827,757
15:00:34;18,365;18,619;-827,757;-827,757
15:00:54;18,424;18,619;-827,757;-827,757
15:01:14;18,34;18,619;-827,757;-827,757
15:01:34;18,34;18,737;-827,757;-827,757
15:01:54;18,306;18,678;-827,757;-827,757
15:02:14;18,315;18,619;-827,757;-827,757
15:02:34;18,365;18,653;-827,757;-827,757
15:02:54;18,424;18,712;-827,757;-827,757
15:03:14;18,306;18,653;-827,757;-827,757
15:03:34;18,306;18,619;-827,757;-827,757
15:03:54;18,458;18,805;-827,757;-827,757
15:04:14;18,484;18,796;-827,757;-827,757
15:04:34;18,543;18,737;-827,757;-827,757
15:04:54;18,458;18,712;-827,757;-827,757
15:05:14;18,458;18,678;-827,757;-827,757
15:05:34;18,424;18,678;-827,757;-827,757
15:05:54;18,484;18,678;-827,757;-827,757
15:06:14;18,577;18,856;-827,757;-827,757
15:06:34;18,602;18,856;-827,757;-827,757
15:06:54;18,551;18,771;-827,757;-827,757
15:07:14;18,543;18,796;-827,757;-827,757
15:07:34;18,458;18,83;-827,757;-827,757
15:07:54;18,458;18,83;-827,757;-827,757
15:08:14;18,458;18,83;-827,757;-827,757
15:08:34;18,484;18,856;-827,757;-827,757
15:08:54;18,517;18,915;-827,757;-827,757
15:09:14;18,484;18,805;-827,757;-827,757
15:09:34;18,399;18,83;-827,757;-827,757
15:09:54;18,509;18,796;-827,757;-827,757
15:10:14;18,517;18,737;-827,757;-827,757
15:10:34;18,577;18,974;-827,757;-827,757
15:10:54;18,636;18,974;-827,757;-827,757
15:11:14;18,577;18,856;-827,757;-827,757
15:11:34;18,517;18,678;-827,757;-827,757
15:11:54;18,602;18,737;-827,757;-827,757
15:12:15;18,661;18,805;-827,757;-827,757
15:12:35;18,661;18,83;-827,757;-827,757
15:12:55;18,661;18,864;-827,757;-827,757
15:13:15;18,695;18,889;-827,757;-827,757
15:13:35;18,61;18,915;-827,757;-827,757
15:13:55;18,577;18,796;-827,757;-827,757
15:14:15;18,517;18,771;-827,757;-827,757
15:14:35;18,602;18,771;-827,757;-827,757
15:14:55;18,661;18,889;-827,757;-827,757
15:15:15;18,686;18,974;-827,757;-827,757
15:15:35;18,661;18,915;-827,757;-827,757
15:15:55;18,661;18,915;-827,757;-827,757
15:16:15;18,695;18,974;-827,757;-827,757
15:16:35;18,754;19,008;-827,757;-827,757
15:16:55;18,72;18,974;-827,757;-827,757
15:17:15;18,661;18,974;-827,757;-827,757
15:17:35;18,661;18,856;-827,757;-827,757
15:17:55;18,636;18,906;-827,757;-827,757
15:18:15;18,695;18,915;-827,757;-827,757
15:18:35;18,661;18,889;-827,757;-827,757
15:18:55;18,695;18,949;-827,757;-827,757
15:19:15;18,686;18,949;-827,757;-827,757
15:19:35;18,636;18,889;-827,757;-827,757
15:19:55;18,636;18,856;-827,757;-827,757
